mros-visit1-aa3363
Whole Night (hrs): 11.441667		SleepStage2 (hrs): 3.933333
SpindleNo,Frequency,Duration,Amplitude,Time_of_night
586,12.000000,0.500000,42.198825,4.426583
587,12.549020,0.398440,29.175250,4.429861
588,13.356522,0.898440,56.847486,4.438833
589,13.736585,0.800780,50.988022,4.439917
590,14.301676,0.699220,54.673075,4.461833
591,12.549020,0.398440,32.959487,4.462778
592,12.000000,0.500000,72.724498,4.472500
593,11.441341,0.699220,97.184710,4.474222
594,13.803922,0.796880,41.153582,4.476417
595,13.298701,0.601560,50.263218,4.476861
596,13.736585,0.800780,42.839704,4.484778
597,12.549020,0.398440,36.873426,4.486667
598,10.840391,1.199200,100.823987,4.487278
599,14.301676,0.699220,54.093233,4.506000
600,13.385621,0.597660,50.469215,4.507806
601,13.298701,0.601560,39.124132,4.509306
602,13.665480,1.097700,57.709621,4.515167
603,14.961039,0.601560,60.524910,4.526444
604,11.441341,0.699220,62.386511,4.533889
605,12.549020,0.398440,39.337758,4.536278
606,13.736585,0.800780,49.446860,4.596472
607,12.487805,0.800780,58.793011,4.597139
608,11.239024,0.800780,50.400549,4.597889
609,12.000000,0.500000,54.840925,4.598361
610,14.000000,0.500000,34.943160,4.600667
611,14.301676,1.398400,60.700389,4.605222
612,13.298701,0.300780,26.581216,4.607833
613,14.129870,1.203100,71.778439,4.610111
614,13.298701,0.601560,49.828336,4.621306
615,12.871508,0.699220,79.812314,4.627944
616,13.298701,0.601560,55.329213,4.633389
617,14.301676,0.699220,90.707256,4.635889
618,12.427184,0.402340,40.726329,4.643389
619,12.000000,0.500000,43.320363,4.644000
620,11.712418,0.597660,44.930190,4.644944
621,11.712418,0.597660,50.072480,4.647861
622,13.298701,0.601560,57.640955,4.652889
