mros-visit1-aa2671
Whole Night (hrs): 10.653889		SleepStage2 (hrs): 2.383333
SpindleNo,Frequency,Duration,Amplitude,Time_of_night
361,12.871508,0.699220,55.184253,2.852833
362,11.636364,0.601560,45.082780,2.853194
363,12.000000,0.500000,41.153582,2.854056
364,13.298701,0.300780,29.098955,2.858472
365,11.441341,0.699220,86.251621,2.860972
366,12.709220,1.101600,67.635615,2.865889
367,12.549020,0.398440,54.154269,2.871389
368,13.736585,0.800780,48.310063,2.874389
369,12.549020,0.398440,32.593271,2.877861
370,13.327549,1.800800,70.778973,2.878250
371,12.871508,0.699220,63.324941,2.878833
372,13.298701,0.300780,41.954681,2.884667
373,12.508143,1.199200,76.577401,2.888250
374,12.549020,0.398440,31.471733,2.890833
375,12.000000,0.500000,40.070192,2.894556
376,10.000000,1.000000,74.151217,2.897194
377,13.356522,0.898440,57.778286,2.907111
378,12.427184,0.402340,29.922942,2.915667
379,14.000000,0.500000,26.863508,2.916389
380,13.736585,0.800780,76.859693,2.917694
381,13.069069,1.300800,57.091630,2.920250
382,13.385621,0.597660,48.821241,2.924806
383,11.636364,0.601560,54.238193,2.930111
384,12.487805,0.800780,75.539788,2.932139
385,12.871508,1.398400,78.362707,2.932667
386,14.000000,2.500000,78.164340,2.936472
387,13.298701,0.300780,26.092927,2.945889
388,11.441341,0.699220,52.674144,2.946028
389,11.239024,0.800780,76.417182,2.946611
390,11.712418,0.597660,60.273136,2.947667
391,12.709220,1.101600,75.143053,2.950111
392,13.600000,2.500000,57.221332,2.950889
393,13.298701,0.601560,36.156252,2.951944
394,11.441341,0.699220,50.301366,2.953611
395,10.893617,1.101600,65.720607,2.955750
396,13.298701,0.300780,37.384604,2.962361
397,13.298701,0.300780,34.935531,2.964944
398,9.990244,0.800780,69.825284,2.976194
399,12.549020,0.398440,41.672389,2.985722
400,11.409471,1.402300,77.927825,2.985889
401,13.342020,1.199200,60.402838,2.987222
402,13.298701,0.300780,31.242847,2.987972
403,14.000000,0.500000,30.594339,2.990028
404,11.636364,0.601560,50.339513,3.008583
405,12.000000,0.500000,30.685893,3.009556
406,13.385621,0.597660,41.260395,3.011694
407,12.487805,0.800780,48.981460,3.012639
408,12.487805,0.800780,50.110628,3.014389
409,9.974026,0.300780,29.327840,3.019222
410,10.696379,1.402300,65.903716,3.020528
411,12.156425,1.398400,67.780575,3.026111
412,13.298701,0.601560,49.187457,3.031111
413,14.301676,0.699220,43.785763,3.031889
414,13.000000,1.000000,66.575113,3.039361
415,12.000000,0.500000,34.836347,3.047139
416,12.549020,0.398440,28.686961,3.047639
417,13.069069,1.300800,55.733577,3.049167
418,13.298701,0.601560,30.663005,3.050278
419,13.298701,0.300780,22.636759,3.053722
420,13.298701,0.300780,35.004196,3.058167
421,12.190476,0.902340,63.851377,3.061722
422,13.298701,0.300780,25.467308,3.064639
423,13.617021,1.101600,45.647364,3.065417
424,14.000000,0.500000,36.179141,3.072194
425,13.342020,1.199200,72.419318,3.073778
426,13.298701,0.601560,55.916686,3.075278
427,13.000000,1.000000,68.917372,3.078917
428,11.200000,2.500000,84.138247,3.082139
429,14.961039,0.601560,36.636912,3.084722
430,11.531532,1.300800,59.845884,3.089694
431,14.000000,0.500000,49.774929,3.090417
432,14.406926,0.902340,42.915999,3.091861
433,13.298701,0.300780,30.777447,3.095889
434,13.298701,0.300780,37.247272,3.099778
435,13.665480,1.097700,42.397192,3.100861
436,13.298701,0.300780,34.355688,3.102556
437,12.549020,0.398440,33.196002,3.103639
438,14.000000,0.500000,51.155871,3.112028
439,12.427184,0.402340,41.016251,3.115611
440,13.385621,0.597660,52.437629,3.116556
441,14.000000,0.500000,40.718700,3.126917
442,12.709220,1.101600,47.127489,3.130278
443,13.342020,1.199200,61.394675,3.133667
444,11.636364,0.601560,44.647898,3.134167
445,12.427184,0.402340,31.967651,3.136722
446,12.508143,1.199200,83.901732,3.153139
447,12.871508,0.699220,44.312200,3.154028
448,12.549020,0.398440,38.330663,3.158778
449,13.356522,0.898440,43.251698,3.159472
450,13.298701,0.601560,41.557946,3.163806
451,12.549020,0.398440,50.049592,3.171194
452,10.008230,1.898400,136.926833,3.172944
453,10.000000,0.500000,47.493706,3.173611
454,14.360976,1.601600,71.351186,3.173861
455,12.000000,0.500000,46.456092,3.177361
456,12.000000,0.500000,67.467765,3.179889
457,14.000000,0.500000,49.469749,3.182472
458,14.000000,0.500000,32.410163,3.184139
459,11.294118,0.796880,54.131380,3.185722
460,13.000000,1.000000,56.198978,3.196250
461,12.427184,0.402340,30.472267,3.200806
462,13.298701,0.902340,30.830854,3.201722
463,11.636364,0.601560,39.642939,3.202694
464,13.665480,1.097700,63.675898,3.203556
465,11.082251,0.902340,57.793545,3.213389
466,12.549020,0.398440,36.308843,3.216556
467,13.000000,1.000000,77.920195,3.224111
468,12.549020,0.398440,38.056001,3.226056
469,14.175896,1.199200,72.869459,3.227139
470,12.549020,0.398440,25.963226,3.228000
471,13.385621,0.597660,37.407492,3.231417
472,13.000000,1.000000,50.972763,3.233361
473,13.298701,0.300780,31.601434,3.234306
474,12.549020,0.398440,38.826581,3.235972
475,12.549020,0.398440,28.999771,3.236417
476,12.549020,0.398440,34.248875,3.243417
477,12.800000,0.703120,35.912108,3.244972
478,14.000000,1.000000,65.552758,3.246583
479,12.300300,1.300800,64.011597,3.249222
480,12.549020,0.398440,35.866331,3.251833
481,12.000000,0.500000,29.404135,3.253611
482,13.298701,0.300780,37.872892,3.257611
483,13.298701,0.300780,47.707332,3.258056
484,13.298701,0.601560,52.834363,3.264000
485,13.736585,0.800780,42.786297,3.266500
486,12.000000,0.500000,58.564126,3.267333
487,12.000000,0.500000,82.902266,3.278944
488,12.871508,0.699220,48.996719,3.281417
489,14.469565,0.898440,47.142748,3.282444
490,12.000000,0.500000,45.838102,3.284167
491,12.243478,0.898440,50.621805,3.289944
492,13.000000,1.000000,40.962844,3.294083
493,12.871508,0.699220,48.599985,3.296556
494,12.487805,0.800780,46.478981,3.300056
495,12.243478,0.898440,56.656748,3.304472
496,12.549020,0.796880,52.513924,3.306417
497,12.427184,0.402340,44.747082,3.306917
498,13.385621,0.597660,35.790036,3.308222
499,11.636364,0.601560,62.699321,3.310667
500,12.000000,0.500000,38.757916,3.319972
501,14.912621,0.402340,33.943694,3.330111
502,12.000000,0.500000,39.368276,3.330528
503,13.298701,0.300780,32.532235,3.331861
504,14.301676,0.699220,42.160678,3.332556
505,13.803922,0.796880,41.977569,3.334750
506,13.356522,0.898440,49.446860,3.335861
507,11.294118,0.796880,63.820859,3.339194
508,11.636364,0.601560,82.772564,3.343250
509,13.803922,0.796880,41.031510,3.345722
